Column	Label	CURIE	IRI	Source Ontology Label	Parent	Comments
A CMI-PB:column	A CMI-PB:alternativeTerm		ID	LABEL	C %	
subject.infancy_vac	aP	VO:0000738	http://purl.obolibrary.org/obo/VO_0000738	DTaP vaccine (Diphtheria-Tetanus-Pertussis vaccine)	vaccine
subject.infancy_vac 	wP	VO:0003106	http://purl.obolibrary.org/obo/VO_0003106	DTwP vaccine (diphtheria, tetanus and whole cell pertussis vaccine)	vaccine
subject.biological_sex 	Male	PATO:0000384	http://purl.obolibrary.org/obo/PATO_0000384	Male	characteristic
subject.biological_sex 	Female	PATO:0000383	http://purl.obolibrary.org/obo/PATO_0000383	Female	characteristic
sample.sample_type	Blood	OBI:0000655	http://purl.obolibrary.org/obo/OBI_0000655	blood specimen	specimen	As discussed in the meeting, somehow, we should have PBMCs and plasma samples here. We can discuss this in person.
ab_titer.isotype	IgE	PR:000050258	http://purl.obolibrary.org/obo/PR_000050258	IgE heavy chain protein	protein
ab_titer.isotype	IgG	PR:000050252	http://purl.obolibrary.org/obo/PR_000050252	IgG heavy chain protein	protein
ab_titer.isotype	IgG1	PR:000050253	http://purl.obolibrary.org/obo/PR_000050253	IgG1 heavy chain protein	protein
ab_titer.isotype	IgG2	PR:000050254	http://purl.obolibrary.org/obo/PR_000050254	IgG2 heavy chain protein	protein
ab_titer.isotype	IgG3	PR:00005025	http://purl.obolibrary.org/obo/PR_00005025	IgG3 heavy chain protein	protein
ab_titer.isotype	IgG4	PR:000050256	http://purl.obolibrary.org/obo/PR_000050256	IgG4 heavy chain protein	protein
ab_titer.antigen	PT	ONTIE:0003550	https://ontology.iedb.org/ontology/ONTIE_0003550	Pertussis toxin complex	protein complex	The 1% PFA is a technical aspect as the protein was fixed with paraformaldehide. I included the detalis only for the Pertussis Toxin.	This is a protein complex, but we don't know where it lives, so we'll put it into ONTIE.
ab_titer.antigen	1% PFA PT	ONTIE:0003551	https://ontology.iedb.org/ontology/ONTIE_0003551	Pertussis toxin complex, inactivated by PFA	protein complex	Same as above in the 1% PFA PT --> All subunits included
ab_titer.antigen	PTM	ONTIE:0003552	https://ontology.iedb.org/ontology/ONTIE_0003552	Pertussis toxin complex, inactivated mutant	protein complex	This is a Pertussis Toxin mutant from List Biologicals only some aa modifications added, not sure how this works with ontologies--> https://www.listlabs.com/products/buy-pertussis-toxin-mutant
	ptxA	uniprot:P04977	https://www.uniprot.org/uniprot/P04977	Pertussis toxin subunit 1	protein	The pertussis Toxin is conformed of 5 subunits (S1, S2, S3, S4 and S5). Those are all contained in this term so it is a mixture of all 5 subunits (I added the Ontology ID for all of those)
	ptxB	uniprot:P04978	https://www.uniprot.org/uniprot/P04978	Pertussis toxin subunit 2	protein	
	ptxC	uniprot:P04979	https://www.uniprot.org/uniprot/P04979	Pertussis toxin subunit 3	protein	
	ptxD	uniprot:P0A3R5	https://www.uniprot.org/uniprot/P0A3R5	Pertussis toxin subunit 4	protein	
	ptxE	uniprot:P04981	https://www.uniprot.org/uniprot/P04981	Pertussis toxin subunit 5	protein	
ab_titer.antigen	ACT	uniprot:C8C508	https://www.uniprot.org/uniprot/C8C508	Adenylate cyclase toxin	protein
ab_titer.antigen	BETV1	uniprot:O23748	https://www.uniprot.org/uniprot/O23748	Pollen allergen, Betv1	protein
ab_titer.antigen	DT	uniprot:Q5PY51	https://www.uniprot.org/uniprot/Q5PY51	Diphtheria toxin	protein	In this case is the toxoid --> 1% PFA inactivated
ab_titer.antigen	FELD1	uniprot:P30438	https://www.uniprot.org/uniprot/P30438	Major allergen I polypeptide chain 1	protein	Cat allergen
ab_titer.antigen	FHA	uniprot:P12255	https://www.uniprot.org/uniprot/P12255	Filamentous hemagglutinin	protein	
ab_titer.antigen	FIM2/3	ONTIE:0003553	https://ontology.iedb.org/ontology/ONTIE_0003553	Mixture of Fim2 and Fim3	mixture	Contains 2 fimbriae proteins FIM2 and FIM3.
	fim2	uniprot:Q5I8X0	https://www.uniprot.org/uniprot/Q5I8X0	Fimbrial protein	protein	Fim2
